Code,Infectious,Exposed
AE,17431.0,31375.8
AF,21185.0,38133.0
AG,200.0,360.0
AL,1199.0,2158.2
AM,4001.0,7201.8
AO,1326.0,2386.8
AR,18734.0,33721.2
AT,15393.0,27707.4
AU,41105.0,73989.0
AU-ACT,677.7331,1219.9196
AU-NSW,13116.893,23610.406
AU-NT,398.8573,717.9431
AU-QLD,8260.886,14869.595
AU-SA,2840.642,5113.156
AU-TAS,865.8122,1558.4619
AU-VIC,10692.942,19247.297
AU-WA,4251.235,7652.223
AZ,3732.0,6717.6
BA,4908.0,8834.4
BB,324.0,583.2
BD,26052.0,46893.6
BE,200420.0,360756.0
BF,4413.0,7943.4
BG,2665.0,4797.0
BH,768.0,1382.4
BJ,200.0,360.0
BN,100.0,180.0
BO,3318.0,5972.4
BR,207543.0,373577.4
BT,40.0,72.0
BY,28223.0,50801.4
CA,242193.0,435947.4
CA-AB,29370.984,52867.77
CA-BC,31239.436,56230.984
CA-MB,9201.116,16562.01
CA-NB,5215.534,9387.961
CA-NL,3501.6665,6302.9995
CA-NS,6526.1387,11747.05
CA-NT,295.72617,532.30707
CA-NU,255.39986,459.71976
CA-ON,90384.664,162692.4
CA-PE,1048.4836,1887.2705
CA-QC,57028.1,102650.58
CA-SK,7890.5117,14202.921
CA-YT,235.23671,423.4261
CF,400.0,720.0
CH,80568.0,145022.4
CI,6759.0,12166.2
CL,30439.0,54790.2
CM,3854.0,6937.2
CN,4000.0,7200.0
CN-AH,179.02441,322.24396
CN-BJ,62.19655,111.95379
CN-CQ,88.01071,158.41928
CN-FJ,111.35608,200.44093
CN-GD,327.6147,589.7064
CN-GS,73.84757,132.92563
CN-GX,139.6968,251.45424
CN-GZ,100.32875,180.59175
CN-HA,275.24716,495.4449
CN-HB,168.9182,304.05276
CN-HE,215.69554,388.25198
CN-HI,26.732388,48.118298
CN-HK,21.604204,38.88757
CN-HL,110.62554,199.12598
CN-HN,194.53024,350.15445
CN-JL,79.296265,142.73328
CN-JS,232.15425,417.87766
CN-JX,130.51457,234.92624
CN-LN,126.76084,228.16951
CN-MO,1.7960192,3.2328346
CN-NM,71.33834,128.40901
CN-NX,18.194078,32.74934
CN-QH,16.24791,29.246237
CN-SC,234.17549,421.51587
CN-SD,290.11197,522.20154
CN-SH,69.992775,125.98699
CN-SN,107.781364,194.00645
CN-SX,105.39341,189.70813
CN-TJ,45.10549,81.18988
CN-XJ,68.144775,122.6606
CN-XZ,9.18222,16.527996
CN-YN,132.7264,238.9075
CN-ZJ,165.65533,298.1796
CO,33169.0,59704.2
CR,3000.0,5400.0
CU,7953.0,14315.4
CY,1813.0,3263.4
CZ,8296.0,14932.8
DE,234265.0,421677.0
DJ,280.0,504.0
DK,18229.0,32812.2
DO,24248.0,43646.4
DZ,46994.0,84589.2
EC,42842.0,77115.6
EE,2070.0,3726.0
EG,80000.0,144000.0
ER,400.0,720.0
ES,726230.0,1307214.0
ET,600.0,1080.0
FI,5710.0,10278.0
FJ,80.0,144.0
FR,1032283.0,1858109.4
G-AAB,1.6613575,2.9904437
G-AAC,825.327,1485.5886
G-AAE,2408.4873,4335.277
G-AAL,1691.4868,3044.6763
G-AAN,1551.5083,2792.7148
G-AAQ,297.89078,536.2034
G-AAR,2018.7352,3633.7234
G-AAT,0.7048331,1.2686995
G-AAX,475.44443,855.8
G-ABA,506.96378,912.5348
G-ABB,257.74872,463.9477
G-ABD,7047.429,12685.373
G-ABE,6617.633,11911.738
G-ABI,2726.4922,4907.686
G-ABJ,5646.4707,10163.647
G-ABK,7.087786,12.758015
G-ABL,20.599798,37.07964
G-ABQ,7138.5527,12849.3955
G-ABR,440.31058,792.5591
G-ABS,26.173618,47.11251
G-ABT,1674.4689,3014.044
G-ABU,204.0177,367.23187
G-ABV,162.5455,292.5819
G-ABX,468.72656,843.7078
G-ABY,2641.8376,4755.308
G-ABZ,8673.927,15613.068
G-ACA,955.4273,1719.7692
G-ACC,2876.9688,5178.5435
G-ACE,1964.3624,3535.8523
G-ACH,9566.0625,17218.912
G-ACP,23024.404,41443.93
G-ACR,12.82543,23.085773
G-ACT,3402.2405,6124.0327
G-ACU,288.28708,518.91675
G-ACV,986.9223,1776.4601
G-ACX,16.8454,30.321718
G-ACY,14285.404,25713.729
G-ACZ,4911.1963,8840.153
G-ADA,17489.252,31480.654
G-ADB,22764.135,40975.44
G-ADD,141.46835,254.64302
G-ADF,5466.915,9840.447
G-ADH,9.512313,17.122164
G-ADK,0.8514034,1.5325261
G-ADL,2403.6736,4326.6123
G-ADQ,107.8129,194.06322
G-ADU,11070.067,19926.121
G-ADV,58.406605,105.13189
G-ADZ,43.645737,78.562325
G-AEB,12.055722,21.7003
G-AEG,826.58606,1487.855
G-AER,408.5124,735.3223
G-AES,193.43674,348.18613
G-AET,1.6334332,2.9401798
G-AEX,2445.49,4401.882
G-AEY,133.92537,241.06567
G-AFA,138.63222,249.53798
G-AFL,273.34583,492.02246
G-AFS,35.977524,64.75954
G-AFZ,9423.26,16961.87
G-AGA,1615.0668,2907.1204
G-AGB,5400.957,9721.723
G-AGF,7161.8433,12891.318
G-AGH,3952.874,7115.173
G-AGP,24772.582,44590.65
G-AGR,8159.578,14687.24
G-AGS,5174.2114,9313.58
G-AGT,192.8877,347.19785
G-AGU,840.2958,1512.5323
G-AGX,13.132363,23.638254
G-AHB,1182.0391,2127.6704
G-AHN,6866.257,12359.262
G-AHO,5732.9717,10319.349
G-AHU,635.23486,1143.4229
G-AIA,188.93881,340.08987
G-AIN,1.248725,2.247705
G-AJA,1526.728,2748.1106
G-AJF,367.32803,661.1904
G-AJI,4252.899,7655.2183
G-AJL,615.86884,1108.5638
G-AJR,304.95703,548.92267
G-AJU,2757.066,4962.7188
G-AJY,280.2284,504.41107
G-AKB,9.762759,17.572966
G-AKJ,288.49414,519.2894
G-AKL,452.5982,814.6768
G-AKN,19.840853,35.713535
G-AKP,4.856153,8.741075
G-AKU,4.9539814,8.917167
G-AKV,3.236871,5.826368
G-AKX,138.6696,249.60529
G-ALA,532.6191,958.71436
G-ALB,5982.211,10767.9795
G-ALC,34076.664,61337.992
G-ALF,23.2443,41.83974
G-ALG,10707.934,19274.281
G-ALH,134.35883,241.8459
G-ALO,2165.23,3897.414
G-ALS,668.9815,1204.1667
G-ALW,630.07306,1134.1315
G-AMA,3068.2207,5522.7974
G-AMD,4824.7563,8684.562
G-AMF,9.155909,16.480635
G-AMH,87.54987,157.58977
G-AMM,384.132,691.4376
G-AMQ,139.19626,250.55325
G-AMS,129694.33,233449.8
G-AMV,0.47708154,0.85874677
G-ANC,2477.7542,4459.9575
G-ANE,21377.303,38479.145
G-ANF,534.1933,961.5479
G-ANI,5.568809,10.023856
G-ANM,9.397544,16.915579
G-ANS,3079.1316,5542.437
G-ANU,200.0,360.0
G-ANX,6.630776,11.935397
G-AOE,7702.5264,13864.548
G-AOG,28.553247,51.395844
G-AOI,14608.09,26294.562
G-AOJ,341.85245,615.3344
G-AOK,3.2643335,5.8758
G-AOR,243.34451,438.0201
G-APN,765.89014,1378.6023
G-APO,433.99442,781.18994
G-AQA,1294.7856,2330.6143
G-AQG,32.733486,58.920277
G-AQI,359.97708,647.9588
G-AQJ,13.867999,24.962399
G-AQP,5604.026,10087.246
G-ARC,2.9641452,5.3354616
G-ARH,211.34447,380.42004
G-ARI,388.87283,699.9711
G-ARK,25.58828,46.058903
G-ARM,126.0091,226.81639
G-ARN,16337.718,29407.893
G-ART,821.19446,1478.15
G-ARU,1216.825,2190.285
G-ASE,1270.3002,2286.5403
G-ASF,229.42693,412.96844
G-ASJ,48.34221,87.015976
G-ASM,322.7691,580.9844
G-ASO,15.345999,27.622797
G-ASP,73.214836,131.78671
G-ASR,8797.12,15834.816
G-ASU,381.1123,686.00214
G-ASV,59.91669,107.850044
G-ASW,954.03687,1717.2664
G-ATA,6029.877,10853.778
G-ATH,2206.9028,3972.4248
G-ATK,4.8056993,8.650259
G-ATL,31329.572,56393.23
G-ATM,227.06758,408.72165
G-ATQ,2947.7798,5306.0034
G-ATY,756.2317,1361.217
G-ATZ,8373.107,15071.594
G-AUC,105.821915,190.47945
G-AUG,2238.5955,4029.4717
G-AUH,2720.427,4896.7686
G-AUR,2734.912,4922.842
G-AUS,10478.353,18861.035
G-AUU,2.2062685,3.9712837
G-AUX,570.1089,1026.196
G-AVA,11.355633,20.440138
G-AVL,5212.9805,9383.365
G-AVP,4479.5884,8063.259
G-AVV,1028.8485,1851.9272
G-AWZ,18475.9,33256.62
G-AXD,94.807205,170.65297
G-AXT,321.74573,579.1423
G-AXU,12.638618,22.749514
G-AYP,4355.5005,7839.9004
G-AYQ,6.7826457,12.208762
G-AYT,10654.982,19178.969
G-AZD,10042.115,18075.809
G-AZN,259.15384,466.4769
G-AZO,4085.4844,7353.8716
G-AZR,115.386314,207.69537
G-AZS,1117.8418,2012.1151
G-BAH,768.0,1382.4
G-BAL,5175.776,9316.396
G-BAQ,1703.8236,3066.8823
G-BAV,7.45146,13.412627
G-BAX,952.17346,1713.9122
G-BAZ,45.342064,81.615715
G-BBA,143.29912,257.93842
G-BBI,5986.953,10776.516
G-BBN,2.1354167,3.8437502
G-BBO,41.33618,74.40513
G-BCA,87.339424,157.21097
G-BCD,1197.9697,2156.3455
G-BCI,8.681303,15.626346
G-BCM,5053.203,9095.766
G-BCN,77500.05,139500.1
