Code,Hospitalization,Critical,CaseFatalityRate
"AE",0.03520553152551969,0.004119338713196636,0.0020015333373776594
"AF",0.0237414341905811,0.004228029287556848,0.0020461972622979234
"AG",0.05572611510497508,0.013818733089616862,0.006684176946327915
"AL",0.0695176082424074,0.02037509054798805,0.009853376162346238
"AM",0.06317206741013366,0.01779086661667624,0.008597723156524257
"AO",0.021857801469883958,0.0037560312743448697,0.00181718739407833
"AR",0.05578114607920116,0.015960270442988513,0.007716400822581277
"AT",0.08380820005773673,0.02758592169590514,0.013330105427251732
"AU",0.07168794917121378,0.0225944172245745,0.010920769107902895
"AW",0.0723802802390274,0.020086574845924736,0.009715063222374164
"AZ",0.04968779392800696,0.011025841422995461,0.005332497450729473
"BA",0.08029113650114376,0.024108764132692636,0.011655503690394002
"BB",0.07563118755893948,0.023761996033002632,0.011482331828890179
"BD",0.039735924695279236,0.008566527726520173,0.004144654193160709
"BE",0.0813501112547646,0.027299215357609777,0.013188148314836317
"BF",0.022881899145196265,0.0039452967206865825,0.001909360758633167
"BG",0.08704113438330446,0.028316389917744187,0.013691481604877064
"BH",0.037936037795394055,0.005643237293155844,0.002736919033629274
"BI",0.022285820586553564,0.003888056464415584,0.0018814740057864997
"BJ",0.026328265281157663,0.005112426887690855,0.0024737447957213932
"BN",0.04573812239561309,0.009111439276497602,0.004409572120516684
"BO",0.04195738569654887,0.01092563562122565,0.0052826745654448405
"BR",0.054802286366914026,0.013991840961662633,0.006766972919368628
"BS",0.05128660539913745,0.011857516699385631,0.005736585513467329
"BT",0.04081171495518473,0.009469583186886673,0.004581788696909846
"BW",0.03346673342901185,0.006714231658108754,0.003250778708339977
"BY",0.07416054031818795,0.02191067117817249,0.01058800513603041
"BZ",0.03688084130365349,0.008025638142854629,0.0038817135412868038
"CA",0.07901547685788071,0.025040826089669448,0.012103974892584971
"CD",0.024241424285845276,0.00467785758838707,0.0022631282312188853
"CF",0.023600225601085278,0.004409697220609538,0.0021332224845768866
"CG",0.02642071190549197,0.0046058062890216404,0.002229069221752736
"CH",0.08285772081448309,0.027160332077857167,0.013124890182328094
"CI",0.025120888230940053,0.004527425310942434,0.00219140597328673
"CL",0.06235266788514396,0.017475658848101105,0.008448913899194133
"CM",0.024460764546974243,0.004332552141003962,0.00209714316550405
"CN",0.0648105205180888,0.016325962840355337,0.00789787555228696
"CO",0.051780096977207514,0.013181032797708561,0.006374580333536128
"CR",0.05684901555010351,0.015068356244481376,0.007286888550197345
"CU",0.07551623247402403,0.022397442099564426,0.010826327787575743
"CV",0.03807834701468377,0.00802157315805377,0.003878670115182342
"CW",0.07787478366849482,0.024258482084095066,0.01172665667276051
"CY",0.06799307663573696,0.020083600308441307,0.009710615201252982
"CZ",0.08243299503164726,0.026170068255974288,0.012655608579788442
"DE",0.09018917997952947,0.031388170674333846,0.015159194208866623
"DJ",0.03686027862291776,0.007390443483920072,0.0035781310159291174
"DK",0.08250208685710773,0.02730737993333452,0.013202325878426567
"DO",0.04533644407251392,0.011299203025026773,0.005463406447918419
