Code,Name,OfficialName,OtherNames,Level,M49Code,ContinentCode,SubregionCode,CountryCode,CountryCodeISOa3,SubdivisionCode,Lat,Lon,Population,GleamID
G-AAA,Anaa,,,gleam_basin,,W-OC,,PF,PYF,,-17.353,-145.51,771.0,710
G-AAB,Arrabury,,,gleam_basin,,W-OC,,AU,AUS,AU-QLD,,,936.0,1668
G-AAC,El Arish,,,gleam_basin,,W-AF,,EG,EGY,,31.073,33.836,868066.0,59
G-AAE,Annaba,,,gleam_basin,,W-AF,,DZ,DZA,,36.822,7.809,1888361.0,45
G-AAL,Aalborg,,,gleam_basin,,W-EU,,DK,DNK,,57.093,9.849,505996.0,1565
G-AAN,Al Ain,,,gleam_basin,,W-AS,,AE,ARE,,24.262,55.609,267024.0,3180
G-AAQ,Anapa,,,gleam_basin,,W-EU,,RU,RUS,,45.002,37.347,447072.0,1913
G-AAR,Aarhus,,,gleam_basin,,W-EU,,DK,DNK,,56.3,10.619,603890.0,1566
G-AAT,Altay,,,gleam_basin,,W-AS,,CN,CHN,CN-XJ,47.75,88.086,258536.0,459
G-AAX,Araxa,,,gleam_basin,,W-SA,,BR,BRA,,-19.563,-46.96,441837.0,2023
G-AAY,Al Ghaydah,,,gleam_basin,,W-AS,,YE,YEM,,16.192,52.175,111024.0,587
G-ABA,Abakan,,,gleam_basin,,W-EU,,RU,RUS,,53.74,91.385,760847.0,1901
G-ABB,Asaba,,,gleam_basin,,W-AF,,NG,NGA,,6.204,6.665,8270449.0,1425
G-ABD,Abadan,,,gleam_basin,,W-AS,,IR,IRN,,30.371,48.228,930057.0,2962
G-ABE,Lehigh Valley,,,gleam_basin,,W-NA,,US,USA,US-PA,40.652,-75.441,1128221.0,2415
G-ABI,Abilene,,,gleam_basin,,W-NA,,US,USA,US-TX,32.411,-99.682,387286.0,2416
G-ABJ,Abidjan,,,gleam_basin,,W-AF,,CI,CIV,,5.261,-3.926,7488499.0,2050
G-ABK,Kebri Dehar,,,gleam_basin,,W-AF,,ET,ETH,,6.734,44.253,1018380.0,240
G-ABL,Ambler,,,gleam_basin,,W-NA,,US,USA,US-PA,67.106,-157.857,3512.0,2486
G-ABQ,Albuquerque,,,gleam_basin,,W-NA,,US,USA,US-NM,35.04,-106.609,950026.0,2417
G-ABR,Aberdeen (US),,,gleam_basin,,W-NA,,US,USA,US-SD,45.449,-98.422,71822.0,2418
G-ABS,Abu Simbel,,,gleam_basin,,W-AF,,EG,EGY,,22.376,31.612,27529.0,57
G-ABT,Al Baha,,,gleam_basin,,W-AS,,SA,SAU,,20.296,41.634,2536898.0,263
G-ABU,Atambua,,,gleam_basin,,W-AS,,ID,IDN,,,,1025262.0,1297
G-ABV,Abuja,,,gleam_basin,,W-AF,,NG,NGA,,9.007,7.263,5215639.0,1426
G-ABX,Albury,,,gleam_basin,,W-OC,,AU,AUS,AU-NSW,-36.068,146.958,280799.0,1660
G-ABY,Albany (US-GA),,,gleam_basin,,W-NA,,US,USA,US-GA,31.535,-84.195,401063.0,2419
G-ABZ,Aberdeen (UK),,,gleam_basin,,W-EU,,GB,GBR,,57.202,-2.198,488434.0,785
G-ACA,Acapulco,,,gleam_basin,,W-NA,,MX,MEX,,16.757,-99.754,2203835.0,1021
G-ACC,Accra,,,gleam_basin,,W-AF,,GH,GHA,,5.605,-0.167,9477080.0,103
G-ACE,Lanzarote,,,gleam_basin,,W-EU,,ES,ESP,,28.945,-13.605,105163.0,2902
G-ACH,Altenrhein,,,gleam_basin,,W-EU,,CH,CHE,,47.485,9.561,812179.0,278
G-ACP,Maragheh,,,gleam_basin,,W-AS,,IR,IRN,,37.348,46.128,3038556.0,2959
G-ACR,Araracuara,,,gleam_basin,,W-SA,,CO,COL,,-0.583,-72.408,20116.0,1391
G-ACT,Waco,,,gleam_basin,,W-NA,,US,USA,US-TX,31.611,-97.23,483273.0,2370
G-ACU,Achutupo,,,gleam_basin,,W-NA,,PA,PAN,,,,43188.0,3008
G-ACV,Arcata,,,gleam_basin,,W-NA,,US,USA,US-CA,40.978,-124.109,173188.0,2369
G-ACX,Xingyi,,,gleam_basin,,W-AS,,CN,CHN,CN-GZ,25.086,104.959,7357766.0,437
G-ACY,Atlantic City,,,gleam_basin,,W-NA,,US,USA,US-NJ,39.458,-74.577,777137.0,2371
G-ACZ,Zabol,,,gleam_basin,,W-AS,,IR,IRN,,31.098,61.544,648136.0,2960
G-ADA,Adana,,,gleam_basin,,W-AS,,TR,TUR,,36.982,35.28,3151726.0,1759
G-ADB,Izmir,,,gleam_basin,,W-AS,,TR,TUR,,38.292,27.157,4102309.0,1746
G-ADD,Addis Ababa,,,gleam_basin,,W-AF,,ET,ETH,,8.978,38.799,20326310.0,228
G-ADE,Aden,,,gleam_basin,,W-AS,,YE,YEM,,12.83,45.029,2069280.0,579
G-ADF,Adiyaman,,,gleam_basin,,W-AS,,TR,TUR,,37.731,38.469,985189.0,1745
G-ADH,Aldan,,,gleam_basin,,W-EU,,RU,RUS,,58.603,125.409,14276.0,1819
G-ADK,Adak Island,,,gleam_basin,,W-NA,,US,USA,US-AK,51.878,-176.646,135.0,2150
G-ADL,Adelaide,,,gleam_basin,,W-OC,,AU,AUS,AU-SA,-34.945,138.531,1303638.0,1595
G-ADQ,Kodiak,,,gleam_basin,,W-NA,,US,USA,US-AK,57.75,-152.494,17095.0,2483
G-ADU,Ardabil,,,gleam_basin,,W-AS,,IR,IRN,,38.326,48.424,1460929.0,2935
G-ADV,Addeain,,,gleam_basin,,W-AF,,SD,SDN,,,,1392978.0,3012
G-ADZ,San Andres Island,,,gleam_basin,,W-SA,,CO,COL,,12.584,-81.711,68456.0,1369
G-AEB,Baise,,,gleam_basin,,W-AS,,CN,CHN,CN-GX,23.721,106.96,3943001.0,331
G-AEG,Aek Godang,,,gleam_basin,,W-AS,,ID,IDN,,1.4,99.43,4153891.0,1244
G-AER,Sochi,,,gleam_basin,,W-EU,,RU,RUS,,43.45,39.957,613092.0,1910
G-AES,Alesund,,,gleam_basin,,W-EU,,NO,NOR,,62.562,6.12,153331.0,1145
G-AET,Allakaket,,,gleam_basin,,W-NA,,US,USA,US-AK,66.552,-152.622,259.0,2446
G-AEX,Alexandria (US),,,gleam_basin,,W-NA,,US,USA,US-LA,31.327,-92.55,421765.0,2114
G-AEY,Akureyri,,,gleam_basin,,W-EU,,IS,ISL,,65.66,-18.073,24386.0,1348
G-AFA,San Rafael,,,gleam_basin,,W-SA,,AR,ARG,,-34.588,-68.404,306694.0,3183
G-AFL,Alta Floresta,,,gleam_basin,,W-SA,,BR,BRA,,-9.866,-56.105,254024.0,1942
G-AFS,Zarafshan,,,gleam_basin,,W-AS,,UZ,UZB,,41.614,64.233,347991.0,2836
G-AFZ,Sabzevar,,,gleam_basin,,W-AS,,IR,IRN,,36.168,57.595,1243598.0,2930
G-AGA,Agadir,,,gleam_basin,,W-AF,,MA,MAR,,30.325,-9.413,2613928.0,810
G-AGB,Augsburg,,,gleam_basin,,W-EU,,DE,DEU,,48.425,10.932,1861062.0,724
G-AGF,Agen,,,gleam_basin,,W-EU,,FR,FRA,,44.175,0.591,428347.0,1489
