# Gatherings limited to 1000 people or less,Gatherings limited to 100 people or less,Gatherings limited to 10 people or less,Some businesses closed,Most nonessential businesses closed,Schools and universities closed,Additional effect of stay at home order on top of above NPIs,median percentage reduction in R_t, lower 95% credible interval, upper 95% credible interval, 
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,31.763239,6.663127,49.542065
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,37.904905,16.039929,53.985250
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,57.509344,26.109677,75.550598
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,17.538151,-9.096779,40.633224
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,44.181081,14.853955,62.160897
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,49.274529,26.193618,64.748018
0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,65.359401,38.386678,80.419920
0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,26.607653,-2.602720,48.789273
0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,50.101987,21.596219,67.304812
0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,54.686674,32.775468,69.585123
0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,68.978124,44.351169,82.774949
0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.623656,0.025498,40.233812
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,47.241209,23.927685,62.373591
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,51.922355,31.558072,66.094133
1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,67.146657,43.059955,80.780560
1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,36.477555,8.797700,55.991261
1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,56.847537,33.849800,70.633959
1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,60.738979,42.742703,72.571296
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,73.142870,53.234800,84.152783
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,43.363626,16.001642,62.131121
1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,61.504658,39.337707,74.581300
1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,64.926483,48.377773,76.269709
1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,75.938593,58.043506,85.947777
1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.220870,12.157552,51.456225
1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,55.257519,35.276519,67.772499
1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,59.280637,42.331980,71.130772
1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,72.135195,52.636072,83.019662
1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,46.168810,21.228231,63.783481
1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,63.495788,43.945868,74.620436
1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,66.840038,51.918483,76.301284
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,77.301626,61.751835,85.760534
1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,51.991940,27.762503,68.177036
1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,67.464829,48.307619,77.857882
1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,70.266462,56.544785,79.127680
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,79.695412,65.279307,87.480707
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.819338,16.238749,59.721255
1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,60.468774,38.963642,72.994598
1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,63.981352,46.425800,75.369717
1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,75.459794,56.120822,85.593302
1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.487412,28.089836,68.533583
1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,67.867171,48.543875,77.949319
1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,70.745978,56.596515,79.140799
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,79.926879,65.454993,87.533181
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,57.702075,34.772135,72.294249
1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,71.354395,53.493256,80.478540
1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,73.810987,61.084090,81.416242
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,100.000000,100.000000,100.000000
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,82.086378,69.087627,88.947145
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,100.000000
